year,month,rate_percent,revenue_ruling,irb_cite,table,authority_url,note
2018,3,3.0,Rev. Rul. 2018-6,2018-10 I.R.B. 388,"Table 5, Rate Under Section 7520 for March 2018",https://www.irs.gov/pub/irs-irbs/irb18-10.pdf,
2018,4,3.2,Rev. Rul. 2018-9,2018-14 I.R.B. 462,"Table 5, Rate Under Section 7520 for April 2018",https://www.irs.gov/pub/irs-irbs/irb18-14.pdf,
2018,5,3.2,Rev. Rul. 2018-12,2018-20 I.R.B. 575,"Table 5, Rate Under Section 7520 for May 2018",https://www.irs.gov/pub/irs-irbs/irb18-20.pdf,
2018,6,3.4,Rev. Rul. 2018-16,2018-23 I.R.B. 737,"Table 5, Rate Under Section 7520 for June 2018",https://www.irs.gov/pub/irs-irbs/irb18-23.pdf,
2018,7,3.4,Rev. Rul. 2018-19,2018-27 I.R.B. 1,"Table 5, Rate Under Section 7520 for July 2018",https://www.irs.gov/pub/irs-irbs/irb18-27.pdf,
2018,8,3.4,Rev. Rul. 2018-21,2018-32 I.R.B. 282,"Table 5, Rate Under Section 7520 for August 2018",https://www.irs.gov/pub/irs-irbs/irb18-32.pdf,
2018,9,3.4,Rev. Rul. 2018-23,2018-36 I.R.B. 405,"Table 5, Rate Under Section 7520 for September 2018",https://www.irs.gov/pub/irs-irbs/irb18-36.pdf,IRB table caption misprints the ruling as Rev. Rul. 2018-21
2018,10,3.4,Rev. Rul. 2018-27,2018-41 I.R.B. 546,"Table 5, Rate Under Section 7520 for October 2018",https://www.irs.gov/pub/irs-irbs/irb18-41.pdf,
2018,11,3.6,Rev. Rul. 2018-28,2018-45 I.R.B. 764,"Table 5, Rate Under Section 7520 for November 2018",https://www.irs.gov/pub/irs-irbs/irb18-45.pdf,
2018,12,3.6,Rev. Rul. 2018-30,2018-49 I.R.B. 815,"Table 5, Rate Under Section 7520 for December 2018",https://www.irs.gov/pub/irs-irbs/irb18-49.pdf,
2019,1,3.4,Rev. Rul. 2019-3,2019-02 I.R.B. 272,"Table 5, Rate Under Section 7520 for January 2019",https://www.irs.gov/pub/irs-irbs/irb19-02.pdf,
2019,2,3.2,Rev. Rul. 2019-4,2019-07 I.R.B. 567,"Table 5, Rate Under Section 7520 for February 2019",https://www.irs.gov/pub/irs-irbs/irb19-07.pdf,
2019,3,3.2,Rev. Rul. 2019-7,2019-10 I.R.B. 761,"Table 5, Rate Under Section 7520 for March 2019",https://www.irs.gov/pub/irs-irbs/irb19-10.pdf,
2019,4,3.0,Rev. Rul. 2019-8,2019-14 I.R.B. 923,"Table 5, Rate Under Section 7520 for April 2019",https://www.irs.gov/pub/irs-irbs/irb19-14.pdf,
2019,5,2.8,Rev. Rul. 2019-12,2019-19 I.R.B. 1081,"Table 5, Rate Under Section 7520 for May 2019",https://www.irs.gov/pub/irs-irbs/irb19-19.pdf,
2019,6,2.8,Rev. Rul. 2019-14,2019-23 I.R.B. 1275,"Table 5, Rate Under Section 7520 for June 2019",https://www.irs.gov/pub/irs-irbs/irb19-23.pdf,
